id,company_name,industry,current_asset,fixed_asset,current_liability,fixed_liability,net_asset,total_asset,total_liability,edinet_code,security_code,fiscal_period_end_date
2595,歌舞伎座,サービス業,1435200000,24673301000,764218000,14052465000,11291818000,26108501000,26108501000,E04606,96610,2019/02/28
2596,ラウンドワン,サービス業,28671000000,88674000000,25088000000,29653000000,62604000000,117345000000,117345000000,E04710,46800,2019/03/31
2597,ＮＳＤ,情報・通信業,35819813000,20058303000,7701773000,830544000,47345799000,55878116000,55878116000,E04822,97590,2019/03/31
2598,ＳＣＳＫ,情報・通信業,201007000000,113837000000,72525000000,47850000000,194469000000,314844000000,314844000000,E04830,97190,2019/03/31
2599,カナモト,サービス業,111393000000,156789000000,78519000000,67883000000,121780000000,268182000000,268182000000,E04862,96780,2019/10/31
2600,ソラスト,サービス業,20594000000,25204000000,16582000000,15280000000,13936000000,45798000000,45798000000,E04878,61970,2019/03/31
2601,ピー・シー・エー,情報・通信業,12038411000,8050790000,5406868000,2687073000,11995260000,20089201000,20089201000,E04894,96290,2019/03/31
2602,ダスキン,サービス業,63948000000,130275000000,34330000000,10009000000,149884000000,194223000000,194223000000,E04926,46650,2019/03/31
2603,ナック,サービス業,31575000000,17916000000,23410000000,6055000000,20026000000,49491000000,49491000000,E04934,97880,2019/03/31
2604,札幌臨床検査センター,サービス業,7762145000,2915394000,2430963000,265199000,7981377000,10677539000,10677539000,E04950,97760,2019/03/31
2605,市進ホールディングス,サービス業,4562799000,7055136000,3850318000,5813417000,1954200000,11617935000,11617935000,E04958,46450,2019/02/28
2606,ネットワンシステムズ,情報・通信業,113410000000,12087000000,49846000000,8793000000,66858000000,125497000000,125497000000,E04966,75180,2019/03/31
2607,ファルコホールディングス,サービス業,17318000000,14805000000,9693000000,3415000000,19015000000,32123000000,32123000000,E04982,46710,2019/03/31
2608,田　谷,サービス業,,,,,,0,0,E04990,46790,2019/03/31
2609,ウチダエスコ,サービス業,9702729000,2201325000,5187550000,1308648000,5407856000,11904054000,11904054000,E05006,46990,2019/07/20
2610,りらいあコミュニケーションズ,サービス業,38214000000,17541000000,16346000000,1595000000,37814000000,55755000000,55755000000,E05014,47080,2019/03/31
2611,城南進学研究社,サービス業,1386002000,5115147000,1604191000,1060487000,3836471000,6501149000,6501149000,E05030,47200,2019/03/31
2612,日本ラッド,情報・通信業,,,,,,0,0,E05054,47360,2019/03/31
2613,野村総合研究所,情報・通信業,285788000000,326404000000,124264000000,62419000000,425509000000,612192000000,612192000000,E05062,43070,2019/03/31
2614,ダイサン,サービス業,,,,,,0,0,E05070,47500,2019/04/20
2615,ＳＡＭＵＲＡＩ＆Ｊ　ＰＡＲＴＮＥＲＳ,情報・通信業,2029112000,675872000,270998000,224900000,2209086000,2704984000,2704984000,E05094,47640,2019/01/31
2616,ＡＰＡＭＡＮ,不動産業,15122000000,18807000000,10223000000,18844000000,4862000000,33929000000,33929000000,E05174,88890,2019/09/30
2617,セプテーニ・ホールディングス,サービス業,,,,,,0,0,E05206,42930,2019/09/30
2618,レイ,サービス業,5513238000,3365477000,3299160000,598316000,4981239000,8878715000,8878715000,E05230,43170,2019/02/28
2619,センチュリー２１・ジャパン,不動産業,,,,,,0,0,E05238,88980,2019/03/31
2620,ユークス,情報・通信業,9426825000,884087000,6340967000,157029000,3812916000,10310912000,10310912000,E05254,43340,2019/01/31
2621,西菱電機,サービス業,9357000000,2130000000,6134000000,212000000,5141000000,11487000000,11487000000,E05262,43410,2019/03/31
2622,きょくとう,サービス業,,,,,,0,0,E05278,23000,2019/02/28
2623,学情,サービス業,,,,,,0,0,E05286,23010,2019/10/31
2624,ｆｏｎｆｕｎ,情報・通信業,566783000,98380000,173996000,174681000,316486000,665163000,665163000,E05302,23230,2019/03/31
2625,クエスト,情報・通信業,,,,,,0,0,E05310,23320,2019/03/31
2626,カカクコム,サービス業,,,,,,0,0,E05350,23710,2019/03/31
2627,パラカ,不動産業,,,,,,0,0,E05414,48090,2019/09/30
2628,日本調剤,小売業,80132000000,98545000000,69100000000,68504000000,41073000000,178677000000,178677000000,E05422,33410,2019/03/31
2629,日本アジアグループ,情報・通信業,74199000000,96034000000,53211000000,86936000000,30086000000,170233000000,170233000000,E05430,37510,2019/03/31
2630,エフオン,電気・ガス業,6286000000,27073000000,3536000000,15961000000,13862000000,33359000000,33359000000,E05470,95140,2019/06/30
2631,シダー,サービス業,3355293000,14961307000,5226430000,12009561000,1080609000,18316600000,18316600000,E05478,24350,2019/03/31
2632,さくらインターネット,情報・通信業,9452342000,21706594000,11586935000,12227857000,7344144000,31158936000,31158936000,E05518,37780,2019/03/31
2633,ヒビノ,サービス業,19943452000,12479112000,13953729000,8461598000,10007237000,32422564000,32422564000,E05550,24690,2019/03/31
2634,ＣＤＧ,サービス業,5482800000,998284000,1210300000,242739000,5028045000,6481084000,6481084000,E05598,24870,2019/03/31
2635,セキュアヴェイル,情報・通信業,803631000,229195000,266732000,56094000,710000000,1032826000,1032826000,E05606,30420,2019/03/31
2636,メディア工房,情報・通信業,2679905000,407416000,949387000,789915000,1348019000,3087321000,3087321000,E05622,38150,2019/08/31
2637,アクロディア,情報・通信業,815822000,1345546000,498544000,40824000,1622000000,2161368000,2161368000,E05630,38230,2019/08/31
2638,Ｍｉｎｏｒｉソリューションズ,情報・通信業,,,,,,0,0,E05638,38220,2019/03/31
2639,オリエンタルコンサルタンツホールディングス,サービス業,35256874000,6833640000,29938621000,1403245000,10748648000,42090514000,42090514000,E05646,24980,2019/09/30
2640,光ハイツ・ヴェラス,サービス業,,,,,,0,0,E05670,21370,2019/03/31
2641,コムチュア,情報・通信業,11219604000,1768581000,3496651000,471740000,9019794000,12988185000,12988185000,E05678,38440,2019/03/31
2642,アイティメディア,サービス業,,,,,,0,0,E05686,21480,2019/03/31
2643,エヌ・ティ・ティ・データ・イントラマート,情報・通信業,4719441000,1494136000,1729200000,486977000,3997400000,6213577000,6213577000,E05694,38500,2019/03/31
2644,ネクスグループ,電気機器,3357606000,3327492000,2953486000,1496756000,2234856000,6685098000,6685098000,E05702,66340,2019/11/30
2645,テックファームホールディングス,情報・通信業,4553106000,1321264000,1306284000,595601000,3972485000,5874370000,5874370000,E05742,36250,2019/06/30
2646,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,サービス業,,,,,,0,0,E20870,65550,2019/03/31
2647,住石ホールディングス,鉱業,7498000000,9343000000,1536000000,807000000,14498000000,16841000000,16841000000,E21342,15140,2019/03/31
2648,クリエイトＳＤホールディングス,小売業,75763000000,57551000000,50718000000,5707000000,76889000000,133314000000,133314000000,E21606,31480,2019/05/31
2649,明治ホールディングス,食料品,421447000000,582696000000,291504000000,152008000000,560631000000,1004143000000,1004143000000,E21902,22690,2019/03/31
2650,アイ・ケイ・ケイ,サービス業,6014563000,15525146000,4394587000,4228171000,12916951000,21539709000,21539709000,E24550,21980,2019/10/31
2651,ミライト・ホールディングス,建設業,211085000000,120376000000,88908000000,42994000000,199559000000,331461000000,331461000000,E24558,14170,2019/03/31
2652,メディカルネット,情報・通信業,1596314000,454820000,340644000,68167000,1642323000,2051134000,2051134000,E24982,36450,2019/05/31
2653,ジー・スリーホールディングス,情報・通信業,2918652000,3018369000,1656385000,2320354000,1960282000,5937021000,5937021000,E24998,36470,2019/08/31
2654,駅探,情報・通信業,2890092000,414058000,451954000,16754000,2835442000,3304150000,3304150000,E25206,36460,2019/03/31
2655,サノヤスホールディングス,輸送用機器,41112000000,25997000000,31229000000,21226000000,14654000000,67109000000,67109000000,E25662,70220,2019/03/31
2656,大正製薬ホールディングス,医薬品,469781000000,352001000000,58453000000,39192000000,724137000000,821782000000,821782000000,E25678,45810,2019/03/31
2657,ＪＡＬＣＯホールディングス,電気機器,2390164000,17095286000,1889648000,8880220000,8715582000,19485450000,19485450000,E25686,66250,2019/03/31
2658,ユニバーサル園芸社,サービス業,4292870000,4065047000,1007248000,472907000,6877762000,8357917000,8357917000,E26446,60610,2019/06/30
2659,ウチヤマホールディングス,サービス業,15549530000,14522504000,6756849000,7085286000,16229899000,30072034000,30072034000,E26454,60590,2019/03/31
2660,エストラスト,不動産業,20030000000,2564000000,11986000000,4618000000,5990000000,22594000000,22594000000,E26966,32800,2019/02/28
